field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,tracts,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTo,PercentESL,PercentPOC
5909,4206901155,9/24/2014,575000,3,2,2168,4000,1.5,0,0,3,8,2168,0.0,1907,0,98105,47.6561,-122.325,1770,4000,Tract 005200,2,5,3,10,3.333333330000000,6.476352790000000,45.149836670000000
5910,6303400290,1/26/2015,170000,2,1,860,8636,1,0,0,3,6,860,0.0,1924,0,98146,47.5081,-122.356,1100,8636,Tract 026700,2,3,3,8,2.666666670000000,9.483907830000000,36.964387740000000
5911,7871500440,10/14/2014,750000,4,1.75,2100,3400,1,,0,5,7,1100,1000.0,1915,0,98119,47.6429,-122.371,1890,3771,Tract 005900,1,3,1,5,1.666666670000000,1.266457680000000,21.015673980000000
5912,6085000130,3/21/2015,230000,3,1,1140,9639,1,0,0,4,7,1140,0.0,1967,0,98001,47.3112,-122.265,1140,9639,Tract 029902,2,3,3,8,2.666666670000000,9.164222870000000,37.390029330000000
5913,1896700080,1/5/2015,855000,4,3,3090,35074,2,0,0,3,9,3090,0.0,1978,,98005,47.6359,-122.159,3120,35150,Tract 022801,4,3,5,12,4.000000000000000,18.901250140000000,62.610391100000000
5914,6197800101,8/5/2014,235000,3,1,1330,45738,2,0,0,2,6,1330,0.0,1967,0,98058,47.436,-122.185,1490,24000,Tract 029304,3,3,3,9,3.000000000000000,10.586383310000000,46.989374260000000
5915,7802900380,9/8/2014,335000,2,1,1360,69260,1,0,0,4,5,1360,0.0,1937,,98065,47.5229,-121.838,1460,69260,Tract 032703,1,3,1,5,1.666666670000000,4.208754210000000,13.846801350000000
5916,3024059126,7/3/2014,1200000,5,3,3420,18129,2,0,0,3,9,2540,880.0,1952,2005,98040,47.5333,-122.217,3750,16316,Tract 024602,1,1,1,3,1.000000000000000,2.630879620000000,22.508636730000000
5917,7128300630,3/30/2015,677000,4,2,2180,6000,1.5,0,0,3,8,2060,120.0,1927,0,98144,47.5958,-122.306,1370,4500,Tract 009000,4,5,5,14,4.666666670000000,20.952380950000000,63.755102040000000
5918,7626200305,10/22/2014,575000,3,2,1800,5000,2,0,0,5,7,1600,200.0,1925,0,98136,47.5447,-122.389,1640,5000,Tract 010600,1,3,1,5,1.666666670000000,2.953890490000000,23.354947170000000
5919,7950300670,2/18/2015,450000,2,1,1120,4590,1,0,0,3,7,1120,0.0,1924,0,98118,47.5663,-122.285,1120,5100,Tract 010100,2,4,5,11,3.666666670000000,7.476635510000000,63.152647980000000
5920,1233100321,3/27/2015,817250,3,2.5,2980,7202,2,0,0,3,8,2980,0.0,1999,,98033,47.6769,-122.177,2430,7280,Tract 022604,2,2,2,6,2.000000000000000,6.271705820000000,31.521961180000000
5921,9238500190,12/2/2014,440000,4,2.25,2600,28600,1,,0,3,8,1810,790.0,1968,0,98072,47.7757,-122.139,2580,26950,Tract 032319,1,4,1,6,2.000000000000000,0.526685390000000,17.187500000000000
5922,1972201856,5/7/2014,526000,2,2,1550,2400,1.5,0,0,4,7,1550,0.0,1900,0,98103,47.654,-122.346,1180,1224,Tract 005400,1,3,1,5,1.666666670000000,0.809431640000000,21.062818930000000
5923,624110920,7/25/2014,762500,3,2.25,3330,15258,2,0,0,3,10,3330,0.0,1986,0,98077,47.7262,-122.06,3360,14850,Tract 032326,2,1,2,5,1.666666670000000,7.666181470000000,23.944687050000000
5924,5003600080,4/14/2015,325000,4,2.5,2200,7719,2,0,0,3,8,2200,0.0,2000,,98030,47.3649,-122.194,2460,7348,Tract 029601,4,4,4,12,4.000000000000000,18.108186290000000,57.434191500000000
5925,853600020,7/10/2014,840000,4,3.5,3840,85728,2,0,0,3,11,3840,0.0,1998,0,98014,47.615,-121.954,2430,42643,Tract 032500,1,3,1,5,1.666666670000000,1.550246220000000,13.660404890000000
5926,7625704317,5/3/2015,377500,2,1,840,4500,1,0,0,3,6,840,0.0,1939,0,98136,47.5441,-122.39,1300,5000,Tract 010600,1,3,1,5,1.666666670000000,2.953890490000000,23.354947170000000
5927,2946000912,9/23/2014,212500,3,1.5,1270,7128,1,0,0,4,6,1270,0.0,1954,0,98198,47.422,-122.321,1270,7986,Tract 028700,2,4,2,8,2.666666670000000,6.412273800000000,32.140047210000000
5928,4188000670,5/15/2014,749400,4,2.5,3240,20301,2,0,0,3,10,3240,0.0,1985,,98052,47.719,-122.114,3010,23650,Tract 032321,2,1,3,6,2.000000000000000,5.761245670000000,39.896193770000000
5929,5215200010,6/26/2014,663000,3,2.5,2480,37843,1.5,,3,4,8,2480,0.0,1974,,98070,47.4003,-122.422,2350,42122,Tract 027702,1,3,1,5,1.666666670000000,0.337197050000000,5.837723920000000
5930,2911700020,7/21/2014,1480000,3,2.25,4470,22518,2,0,2,3,9,3240,1230.0,1953,,98006,47.574,-122.18,2930,21837,Tract 024701,3,3,3,9,3.000000000000000,12.324649300000000,44.338677350000000
5931,185000161,10/15/2014,261000,3,1,1780,7800,1,,0,3,7,1060,720.0,1957,0,98178,47.4932,-122.263,1450,7800,Tract 026100,3,5,5,13,4.333333330000000,15.812274370000000,80.096269550000000
5932,2140700190,4/10/2015,515000,4,2.5,1850,9248,2,0,0,3,8,1850,0.0,1997,0,98028,47.735,-122.244,2080,8711,Tract 022101,2,2,1,5,1.666666670000000,4.997855000000000,16.816816820000000
5933,9406600050,5/12/2014,410000,3,2.25,2200,16921,2,0,0,3,8,2200,0.0,1987,,98038,47.3727,-122.051,2060,16921,Tract 032008,1,3,1,5,1.666666670000000,2.547770700000000,20.276008490000000
5934,2473000470,7/8/2014,336000,3,2.25,2760,10160,1,0,0,3,8,2760,0.0,1969,,98058,47.4504,-122.15,2760,9600,Tract 031908,3,4,3,10,3.333333330000000,12.029736430000000,42.757377790000000
5935,5100403952,2/25/2015,440000,2,1,1090,4128,1,0,0,3,7,1090,0.0,1948,0,98115,47.696,-122.314,1090,5413,Tract 002000,1,3,1,5,1.666666670000000,1.520713160000000,17.147351860000000
5936,2024059127,1/9/2015,908950,4,2.75,3090,6200,2,0,0,3,9,3090,0.0,2014,0,98006,47.5538,-122.189,2890,10108,Tract 024701,3,3,3,9,3.000000000000000,12.324649300000000,44.338677350000000
5937,1483300430,11/25/2014,554000,2,1,820,3700,1,0,0,5,7,820,0.0,1968,0,98040,47.588,-122.251,1750,9000,Tract 024300,2,2,2,6,2.000000000000000,5.910138250000000,31.025345620000000
5938,291300170,5/9/2014,387000,3,2.25,1445,1606,2,0,0,3,7,1300,145.0,2003,0,98027,47.5348,-122.072,1410,1286,Tract 025006,2,1,3,6,2.000000000000000,7.201713910000000,38.282794990000000
5939,9117000170,5/5/2015,268643,4,2.25,1810,9240,2,0,0,3,7,1810,0.0,1961,,98055,47.4362,-122.187,1660,9240,Tract 029303,3,4,4,11,3.666666670000000,11.262292870000000,55.503165840000000
5940,461004095,7/21/2014,514000,3,1.75,1620,5000,1,0,0,3,7,920,700.0,1954,0,98117,47.681,-122.372,1610,5000,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
5941,9547201850,7/23/2014,420000,2,1.75,1060,4182,2,0,0,3,7,1060,0.0,1977,,98115,47.6787,-122.308,1760,4590,Tract 002600,1,3,1,5,1.666666670000000,1.699268920000000,19.126654810000000
5942,7942100290,9/10/2014,199000,3,1.75,1050,9871,1,0,0,5,7,1050,0.0,1968,0,98042,47.3816,-122.087,1300,10794,Tract 032005,2,3,1,6,2.000000000000000,6.385002040000000,20.635783180000000
5943,4336000050,3/17/2015,225000,3,1,1010,15701,1,0,0,4,7,1010,0.0,1949,0,98188,47.4518,-122.292,1260,9800,Tract 028402,4,5,5,14,4.666666670000000,18.271119840000000,71.335952850000000
5944,2571910420,8/19/2014,320000,4,2.5,2050,8424,2,0,0,4,8,2050,0.0,1993,0,98022,47.196,-122.011,1970,8448,Tract 031302,1,5,1,7,2.333333330000000,0.662083020000000,12.324929970000000
5945,8802400896,10/23/2014,204995,2,1,970,8185,1,0,0,5,6,970,0.0,1904,0,98031,47.4025,-122.201,1500,12541,Tract 029403,4,4,5,13,4.333333330000000,23.268360600000000,63.296206060000000
5946,3630010020,12/29/2014,376000,3,2,1540,1827,2,0,0,3,8,1540,0.0,2005,0,98029,47.5479,-121.999,1560,2058,Tract 032210,2,2,3,7,2.333333330000000,4.952088360000000,44.203057570000000
5947,6793300010,12/15/2014,705000,4,2.75,3000,6222,2,0,0,3,9,3000,0.0,2004,0,98029,47.5582,-122.025,3340,7222,Tract 032208,1,3,2,6,2.000000000000000,3.456764800000000,30.372345880000000
5948,7852020250,6/2/2014,725995,4,2.5,3190,7869,2,0,2,3,9,3190,0.0,2001,0,98065,47.5317,-121.866,2630,6739,Tract 032602,1,1,1,3,1.000000000000000,1.680107530000000,21.804062130000000
5949,2473400290,1/26/2015,285000,4,2.5,1870,8190,1,0,0,3,7,1100,770.0,1977,0,98058,47.4521,-122.161,1590,9150,Tract 025804,3,3,3,9,3.000000000000000,12.927232640000000,44.818081590000000
5950,3328500250,5/2/2014,285000,4,2.5,2200,9397,2,0,0,3,8,2200,0.0,1987,0,98001,47.3406,-122.269,2310,9176,Tract 029802,2,3,3,8,2.666666670000000,6.787135640000000,45.487791760000000
5951,629420080,8/20/2014,731000,4,2.5,3070,5936,2,0,0,3,9,3070,0.0,2005,0,98075,47.5902,-121.988,3160,5936,Tract 032213,2,1,2,5,1.666666670000000,6.478624940000000,25.760246800000000
5952,2524049215,5/1/2015,1560000,4,3.75,3730,17000,2,0,3,4,10,2820,910.0,1986,0,98040,47.5355,-122.242,3880,15550,Tract 024602,1,1,1,3,1.000000000000000,2.630879620000000,22.508636730000000
5953,8663310050,10/6/2014,510000,4,2.5,2440,10423,1,0,0,3,7,2440,?,1955,,98034,47.725,-122.172,1990,7758,Tract 021904,3,3,3,9,3.000000000000000,15.717448180000000,42.382773190000000
5954,4083304835,10/23/2014,620000,2,1,990,4332,1,0,0,3,7,990,0.0,1909,0,98103,47.6528,-122.331,1920,3420,Tract 005100,1,3,1,5,1.666666670000000,3.724850460000000,17.319195210000000
5955,8155800050,4/22/2015,1110000,3,4,4160,31796,2,0,0,3,11,4160,0.0,1989,0,98053,47.6635,-122.017,4300,36192,Tract 032315,1,2,1,4,1.333333330000000,2.753464620000000,15.098468270000000
5956,4403200255,7/22/2014,796000,4,3.5,3670,4960,2,0,0,3,9,2870,800.0,2005,0,98177,47.7022,-122.374,1520,6335,Tract 001400,1,4,2,7,2.333333330000000,4.198198200000000,26.306306310000000
5957,5379800500,9/30/2014,255000,3,1.5,910,25500,1,0,0,3,5,910,0.0,1943,0,98188,47.4565,-122.276,1580,10019,Tract 028300,3,4,4,11,3.666666670000000,10.674703480000000,58.253937390000000
5958,7010700660,4/28/2015,807000,3,2.5,1940,4000,2,0,0,4,9,1940,0.0,2000,0,98199,47.659,-122.398,1410,4000,Tract 005700,1,2,1,4,1.333333330000000,1.452464790000000,19.468896710000000
5959,9406540190,11/10/2014,315000,4,2.5,1780,6000,2,0,0,3,9,1780,0.0,2000,0,98038,47.3774,-122.027,2650,6000,Tract 032010,1,2,1,4,1.333333330000000,0.619621340000000,16.385542170000000
5960,1795920250,2/27/2015,637000,3,2.25,2200,7355,2,0,0,4,8,2200,0.0,1986,,98052,47.7266,-122.103,2290,7868,Tract 032322,2,1,1,4,1.333333330000000,5.945796460000000,20.215707960000000
5961,5249800010,12/3/2014,2730000,4,4.25,6410,43838,2.5,0,2,4,12,5610,800.0,1906,0,98144,47.5703,-122.28,2270,6630,Tract 010100,2,4,5,11,3.666666670000000,7.476635510000000,63.152647980000000
5962,8651510420,12/11/2014,490000,3,2,2070,10023,1,0,0,3,8,1220,850.0,1981,,98074,47.6492,-122.062,2130,9694,Tract 032316,1,1,2,4,1.333333330000000,4.517416550000000,29.589985490000000
5963,1422700080,6/10/2014,253000,3,1.75,2040,7281,1,0,0,3,7,1020,1020.0,1962,0,98188,47.4681,-122.282,1740,7527,Tract 028200,5,5,5,15,5.000000000000000,29.210789210000000,74.145854150000000
5964,5468780250,5/8/2014,325900,4,2.5,2320,6270,2,0,0,3,8,2320,0.0,2004,0,98042,47.3501,-122.14,2150,6270,Tract 031704,3,3,4,10,3.333333330000000,11.247481220000000,48.104048360000000
5965,3723800415,10/15/2014,425000,2,2,1440,6677,1,0,0,3,7,870,570.0,1952,0,98118,47.5513,-122.264,2020,7642,Tract 010200,2,3,3,8,2.666666670000000,8.665207880000000,37.330415750000000
5966,1545800290,9/5/2014,215000,4,2.5,1700,6675,2,0,0,3,7,1700,0.0,1997,0,98038,47.3638,-122.053,1570,7540,Tract 032008,1,3,1,5,1.666666670000000,2.547770700000000,20.276008490000000
5967,1545800290,4/8/2015,315000,4,2.5,1700,6675,2,0,0,3,7,1700,0.0,1997,0,98038,47.3638,-122.053,1570,7540,Tract 032008,1,3,1,5,1.666666670000000,2.547770700000000,20.276008490000000
5968,2804100095,5/16/2014,724800,3,2,2050,3933,1,0,0,3,8,1180,870.0,1926,2001,98112,47.6436,-122.303,1940,4000,Tract 006200,1,1,1,3,1.000000000000000,1.064311590000000,17.980072460000000
5969,7282300095,7/9/2014,295000,2,1,800,6500,1,0,0,4,6,800,0.0,1953,,98133,47.7621,-122.358,1220,7000,Tract 020800,1,3,1,5,1.666666670000000,4.227304230000000,19.912219910000000
5970,930000289,3/16/2015,509007,3,1.75,1800,7620,1,0,0,3,8,1350,450.0,1951,0,98177,47.7165,-122.361,1770,7620,Tract 000500,1,2,1,4,1.333333330000000,4.161205770000000,19.823066840000000
5971,2822059181,4/13/2015,306000,5,2,1460,169448,1.5,0,0,3,6,1460,0.0,1910,0,98030,47.3714,-122.177,2250,6059,Tract 029502,3,4,4,11,3.666666670000000,15.239212620000000,52.105331770000000
5972,1761100080,7/17/2014,205000,3,1.75,1290,7210,1,,0,3,7,1290,0.0,1984,0,98023,47.2889,-122.363,1350,7509,Tract 030312,3,5,3,11,3.666666670000000,10.722843450000000,46.565495210000000
5973,2953000250,7/31/2014,275000,3,1.5,1900,9737,1,0,0,4,7,1200,700.0,1968,0,98031,47.4125,-122.207,1670,9737,Tract 029403,4,4,5,13,4.333333330000000,23.268360600000000,63.296206060000000
5974,3416600185,11/6/2014,685000,3,1.75,1480,7000,1,0,2,3,8,1480,0.0,1963,0,98122,47.6018,-122.291,1850,4000,Tract 007800,1,1,2,4,1.333333330000000,1.225531910000000,26.791489360000000
5975,927200380,4/20/2015,465000,4,2.5,2090,12833,1,0,0,3,7,1220,870.0,1969,0,98034,47.7266,-122.175,1740,11200,Tract 021904,3,3,3,9,3.000000000000000,15.717448180000000,42.382773190000000
5976,7922750020,7/8/2014,560000,4,2.25,1950,9800,1,0,0,3,8,1330,620.0,1968,0,98033,47.666,-122.178,2170,9800,Tract 022703,2,2,2,6,2.000000000000000,6.563545150000000,29.138795990000000
5977,259600050,2/23/2015,458500,3,1.75,1250,9605,1,0,0,3,7,1250,0.0,1964,0,98008,47.6325,-122.121,1570,9605,Tract 022901,3,2,3,8,2.666666670000000,11.238609520000000,42.726965910000000
5978,3298300420,3/31/2015,354000,3,1,990,7590,1,0,0,3,6,990,0.0,1959,0,98008,47.6228,-122.121,1100,7590,Tract 023100,3,3,3,9,3.000000000000000,11.344537820000000,42.486406330000000
5979,1310440470,1/13/2015,441000,3,2.5,2740,7923,2,0,0,3,9,2740,0.0,1998,0,98058,47.4349,-122.105,2740,8815,Tract 031906,2,2,2,6,2.000000000000000,7.819354840000000,24.129032260000000
5980,3438502668,8/29/2014,194000,3,1.75,1260,10488,1,0,0,2,7,1110,150.0,1952,,98106,47.5417,-122.357,1540,9120,Tract 010800,2,3,4,9,3.000000000000000,8.028169010000000,52.515090540000000
5981,5591700290,5/15/2014,316500,4,2.5,2150,6807,2,0,0,4,8,2150,0.0,1991,0,98031,47.4053,-122.189,1910,7240,Tract 029403,4,4,5,13,4.333333330000000,23.268360600000000,63.296206060000000
5982,4172100050,8/25/2014,524950,3,1.75,1750,3250,1.5,0,0,4,7,1230,520.0,1929,0,98117,47.6807,-122.366,1480,3600,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
5983,9275700005,4/27/2015,1050000,3,2.25,2880,6092,2,0,4,4,8,1920,960.0,1983,0,98116,47.5878,-122.381,2880,5308,Tract 009600,1,3,1,5,1.666666670000000,2.939650700000000,17.430399450000000
5984,1089000190,4/12/2015,925000,4,2.25,2590,13894,2,0,0,4,9,2590,0.0,1975,0,98005,47.6351,-122.165,2720,13894,Tract 023700,2,2,3,7,2.333333330000000,6.200832950000000,37.089310500000000
5985,9523103000,10/20/2014,780000,3,1.75,2430,4524,1.5,,0,4,7,1830,600.0,1924,0,98103,47.674,-122.35,1610,4100,Tract 003500,1,3,1,5,1.666666670000000,2.345099980000000,15.724512470000000
5986,2781270440,5/19/2014,241000,2,2,1470,3128,2,0,0,3,6,1470,0.0,2005,0,98038,47.349,-122.021,1180,2576,Tract 031604,1,3,2,6,2.000000000000000,2.685168500000000,25.806451610000000
5987,2105200050,6/19/2014,519000,3,2.75,2020,10744,1,0,0,5,7,1270,750.0,1954,0,98166,47.4403,-122.343,2020,11069,Tract 028600,1,3,1,5,1.666666670000000,1.273584910000000,13.522012580000000
5988,7625703637,8/28/2014,286000,2,1,610,4000,1,0,0,4,6,610,0.0,1918,,98136,47.5469,-122.391,870,5160,Tract 010600,1,3,1,5,1.666666670000000,2.953890490000000,23.354947170000000
5989,2926049408,10/9/2014,400000,3,2,3000,17800,1,0,0,3,8,1500,1500.0,1962,0,98125,47.7058,-122.315,2400,8300,Tract 001200,4,5,3,12,4.000000000000000,17.098519360000000,40.674829160000000
5990,3224079005,10/9/2014,255000,2,1,920,43560,1,0,0,4,5,920,0.0,1923,0,98024,47.5245,-121.931,1530,11875,Tract 032210,2,2,3,7,2.333333330000000,4.952088360000000,44.203057570000000
5991,5147600095,1/21/2015,152000,3,1.75,1070,7754,1,0,0,3,6,1070,0.0,1953,0,98146,47.5079,-122.344,950,7740,Tract 026801,4,5,5,14,4.666666670000000,23.793991420000000,70.712446350000000
5992,2413900050,12/1/2014,599000,4,2,3410,15143,2,0,0,4,8,3410,0.0,1972,1987,98052,47.6709,-122.052,2350,25936,Tract 032328,1,2,1,4,1.333333330000000,2.301495970000000,22.382048330000000
5993,3820350050,10/24/2014,330000,4,2.5,1820,3905,2,0,0,3,7,1820,0.0,2001,0,98019,47.7346,-121.985,1820,3863,Tract 032402,1,2,1,4,1.333333330000000,0.951212030000000,15.050629030000000
5994,8910500675,5/19/2014,461000,2,1,1060,7193,1,0,0,3,7,1060,0.0,1926,0,98133,47.7102,-122.356,1980,7560,Tract 001400,1,4,2,7,2.333333330000000,4.198198200000000,26.306306310000000
5995,1461200020,3/10/2015,620000,5,2.5,3070,34991,2,0,0,3,9,3070,0.0,1995,,98059,47.4721,-122.148,2150,19515,Tract 025602,3,3,3,9,3.000000000000000,12.774256460000000,41.979522180000000
5996,722079056,10/6/2014,352500,4,2.5,2300,219106,1,0,0,4,7,1840,460.0,1958,0,98038,47.4044,-121.963,2120,123710,Tract 032003,1,3,1,5,1.666666670000000,0.853404130000000,9.084012900000000
5997,8663370020,8/6/2014,435000,3,2,1610,6911,1,0,0,3,7,1260,350.0,1988,0,98034,47.7188,-122.177,1630,6911,Tract 021903,2,3,2,7,2.333333330000000,5.704534370000000,24.378352020000000
5998,2568200130,5/16/2014,725000,5,2.75,2830,5310,2,0,0,3,9,2830,0.0,2006,0,98052,47.7074,-122.101,3150,6581,Tract 032321,2,1,3,6,2.000000000000000,5.761245670000000,39.896193770000000
5999,8947800080,11/5/2014,300000,3,1,970,12300,1,0,0,3,7,970,0.0,1982,,98028,47.7335,-122.227,2040,9994,Tract 022102,2,3,2,7,2.333333330000000,8.373316820000000,27.658257240000000
6000,1545803390,11/11/2014,252000,3,2.5,1680,8284,2,0,0,3,7,1680,0.0,1989,0,98038,47.3609,-122.048,1550,8284,Tract 032008,1,3,1,5,1.666666670000000,2.547770700000000,20.276008490000000
6001,1088030010,10/5/2014,464625,4,2.75,2040,8996,1,0,0,4,8,1260,780.0,1974,0,98033,47.666,-122.185,2470,9180,Tract 022703,2,2,2,6,2.000000000000000,6.563545150000000,29.138795990000000
6002,1829700080,12/12/2014,340000,3,1,1450,9586,2,0,0,3,7,1450,0.0,1950,,98155,47.7443,-122.326,1500,8592,Tract 021000,2,3,3,8,2.666666670000000,7.309140710000000,42.896268400000000
6003,2125049024,6/20/2014,1330000,4,2.25,2870,6280,1.5,0,0,4,9,1980,890.0,1905,0,98112,47.6329,-122.31,2370,4760,Tract 006200,1,1,1,3,1.000000000000000,1.064311590000000,17.980072460000000
6004,5706200020,2/6/2015,455000,5,2,1870,13970,1,0,0,4,7,1120,?,1969,0,98027,47.5243,-122.042,1860,13970,Tract 032104,1,3,2,6,2.000000000000000,3.522473700000000,25.757092760000000
6005,2316400285,5/13/2015,495000,4,3.5,2490,18042,2,0,0,3,8,2490,0.0,2003,0,98070,47.4161,-122.441,1960,21107,Tract 027702,1,3,1,5,1.666666670000000,0.337197050000000,5.837723920000000
6006,7588700080,4/21/2015,925000,4,2.5,3350,4501,2,0,0,3,9,2640,710.0,2002,0,98117,47.688,-122.379,1000,4500,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
6007,7853310380,12/11/2014,587000,4,2.75,3190,8737,2,,0,3,9,3190,0.0,2006,0,98065,47.523,-121.877,3240,7131,Tract 032602,1,1,1,3,1.000000000000000,1.680107530000000,21.804062130000000
6008,6821101870,5/5/2014,524000,3,1.75,1560,5520,1,0,0,4,6,780,780.0,1944,,98199,47.6515,-122.399,1470,6000,Tract 005700,1,2,1,4,1.333333330000000,1.452464790000000,19.468896710000000
6009,9551201660,6/13/2014,1030000,4,2.5,2750,4800,2,0,0,3,9,1960,790.0,1905,2005,98103,47.6709,-122.337,2400,5300,Tract 004600,1,2,1,4,1.333333330000000,2.177463260000000,11.050626020000000
6010,3530500010,9/30/2014,176000,2,1,920,2332,1,,0,4,8,920,0.0,1980,0,98198,47.3779,-122.32,1310,2853,Tract 029001,2,4,2,8,2.666666670000000,5.944798300000000,32.420382170000000
6011,7387500185,5/21/2014,249900,2,1,1140,5500,1,0,0,3,6,1140,0.0,1947,,98106,47.5187,-122.363,1110,5500,Tract 011402,4,5,4,13,4.333333330000000,19.286204530000000,56.211393270000000
6012,1626079132,6/5/2014,499500,3,2.5,2520,53143,1.5,0,0,3,7,2520,0.0,1988,0,98019,47.743,-121.925,2020,56628,Tract 032401,1,2,1,4,1.333333330000000,4.252618220000000,8.457632500000000
6013,8854100130,9/11/2014,600000,5,3.5,3150,10542,1,0,0,5,9,1620,1530.0,1974,0,98011,47.7469,-122.217,3150,11807,Tract 022102,2,3,2,7,2.333333330000000,8.373316820000000,27.658257240000000
6014,2123049142,8/14/2014,294000,4,2.5,2040,7800,2,0,0,3,7,2040,0.0,2003,,98168,47.473,-122.293,1860,10954,Tract 027300,5,5,5,15,5.000000000000000,36.743072190000000,71.005815940000000
6015,3423059109,4/15/2015,272000,4,2,1780,19843,1,,0,3,7,1780,0.0,1963,0,98058,47.4414,-122.154,2210,13500,Tract 031909,1,3,2,6,2.000000000000000,2.672148000000000,26.002055500000000
6016,5631500992,5/15/2014,390000,3,2.5,2240,10800,2,0,0,3,8,2240,0.0,1996,0,98028,47.7433,-122.229,1900,9900,Tract 022102,2,3,2,7,2.333333330000000,8.373316820000000,27.658257240000000
6017,6641800020,1/9/2015,700000,4,2.5,3270,9650,1,0,3,4,9,2320,950.0,1971,0,98166,47.409,-122.333,2340,17357,Tract 028600,1,3,1,5,1.666666670000000,1.273584910000000,13.522012580000000
6018,7853301700,4/20/2015,635000,5,2.75,3110,6621,2,,0,3,9,3110,0.0,2006,0,98065,47.543,-121.888,3550,7953,Tract 032602,1,1,1,3,1.000000000000000,1.680107530000000,21.804062130000000
6019,2158900290,4/16/2015,920000,4,1.5,1850,3600,2,0,0,3,8,1660,190.0,1929,0,98112,47.6376,-122.307,1970,3600,Tract 006200,1,1,1,3,1.000000000000000,1.064311590000000,17.980072460000000
6020,2273600250,8/4/2014,500000,3,1.75,1570,8530,1,0,0,4,7,1190,380.0,1983,0,98033,47.6881,-122.184,1530,8708,Tract 022500,1,2,1,4,1.333333330000000,2.571699450000000,22.315714620000000
6021,3298700840,8/21/2014,263500,2,1,750,4515,1,0,0,3,6,750,0.0,1942,,98106,47.5198,-122.351,1020,5000,Tract 011300,3,5,4,12,4.000000000000000,12.078253470000000,54.408846040000000
6022,5450500010,3/13/2015,975000,4,2.25,2240,9990,2,0,0,4,10,2240,0.0,1967,0,98040,47.5516,-122.217,2600,11480,Tract 024601,1,1,1,3,1.000000000000000,2.457002460000000,22.113022110000000
6023,3629870020,11/14/2014,575000,3,2.5,1870,3485,2,,0,3,8,1870,0.0,2001,0,98029,47.5493,-122.004,1940,3485,Tract 032210,2,2,3,7,2.333333330000000,4.952088360000000,44.203057570000000
6024,8856700130,6/12/2014,822000,4,2.5,2683,40386,2,0,0,4,9,2683,0.0,1987,0,98052,47.6982,-122.138,2683,34800,Tract 032309,3,2,3,8,2.666666670000000,10.376726100000000,47.352191980000000
6025,6381502155,1/16/2015,300000,3,1,1490,7200,1,0,0,3,7,1490,0.0,1954,0,98125,47.7276,-122.307,1280,7200,Tract 000200,3,4,3,10,3.333333330000000,16.380283460000000,36.749027970000000
6026,1443550080,3/30/2015,487600,4,2.5,2340,12080,2,0,0,3,8,2340,0.0,1999,0,98019,47.7325,-121.969,2200,12403,Tract 032402,1,2,1,4,1.333333330000000,0.951212030000000,15.050629030000000
6027,2205700345,7/7/2014,500000,4,2,1700,8640,1,0,0,3,7,850,850.0,1955,2010,98006,47.5774,-122.153,1620,9000,Tract 024800,4,4,4,12,4.000000000000000,22.468142190000000,60.311871230000000
6028,6926700660,9/11/2014,680000,2,2,1450,989,3,0,0,3,9,1450,?,2014,0,98109,47.6354,-122.346,1490,1240,Tract 006700,2,3,2,7,2.333333330000000,5.720534070000000,31.342081030000000
6029,3279050130,9/10/2014,419000,3,2.5,3310,21096,2,,2,3,9,3310,0.0,2004,0,98023,47.3049,-122.386,3310,13835,Tract 030306,2,3,3,8,2.666666670000000,5.738411170000000,41.323453390000000
6030,2770606890,8/7/2014,450000,4,1.75,1520,5250,1,0,0,3,6,1520,0.0,1949,0,98199,47.6581,-122.39,1530,5250,Tract 005801,1,4,2,7,2.333333330000000,3.929640720000000,24.382485030000000
6031,2867100190,6/18/2014,650000,5,1.75,1260,4500,1.5,0,0,3,7,1260,0.0,1926,,98119,47.6452,-122.369,1410,4388,Tract 005900,1,3,1,5,1.666666670000000,1.266457680000000,21.015673980000000
6032,8562600190,6/23/2014,550000,3,1.75,1840,8086,1,0,0,4,8,1840,0.0,1964,0,98052,47.67,-122.155,1840,8060,Tract 022606,4,2,3,9,3.000000000000000,16.539890320000000,36.423138160000000
6033,5680000545,12/3/2014,330000,4,2,1750,5202,1,0,1,4,6,1070,680.0,1942,0,98108,47.5677,-122.317,2090,5400,Tract 009300,4,4,4,12,4.000000000000000,18.836772980000000,49.756097560000000
6034,1922059027,1/23/2015,282510,4,1,1450,32234,1.5,0,0,4,6,1450,0.0,1932,0,98030,47.3818,-122.21,1530,10125,Tract 029503,5,5,5,15,5.000000000000000,30.833138310000000,64.954364620000000
6035,1725059316,11/20/2014,2390000,4,4,6330,13296,2,0,2,3,13,4900,1430.0,2000,0,98033,47.6488,-122.201,2200,9196,Tract 022701,2,2,2,6,2.000000000000000,7.081765310000000,27.642832710000000
